Key;Reasoning
22168020;To create the output first the input is copied and then zero-values between two non-zero values turned into the same non-zero values they are surrounded with. Dimensions: Output dimensions therefore are the same as in the input. Values: The output uses the same values as the input. Changes values: As explained earlier the only values that change are the horizontal lines of zero values between two non-zero values.
23581191;First the input is copied and then for each non-zero value we fill a horizontal and vertical line with the same non-zero value. If two lines cross each other the entry gets the value 2 at that point. Dimensions: Therefore the output dimensions are the same as the input dimensions. Values: The non-zero values of the input define the values on the added vertical and horizontal lines (except in the case of crossed lines). Changed Values: For each non-zero value in the input the whole vertical and horizontal line of that entry will be changed.
29623171;First the input is copied into the output. Secondly the we see the two-dimensional grid as a nine three by three grids divided by the values equal to five. Then we look at the three by three grids and observe the one with the most non-zero values x in it. There can be multiple with the most non-zero values x in it. Once observed the three by three grids with the most non-zero values x are turned into a three by three grid where all values are x. All other three by three grids are zerod out while the fives remain. Dimension: The output has the same dimensions as the input. Values: Following the general rule explained earlier there are usuall only two non-zero values used one is 5 and one is dependent on the input we call it x. Changed values: Following the rule earlier we on one hand change the values in the three by three grid with the most non-zero values and we change the non-zero values to zero which are in the other three by three grids.
32597951;First the input is copied and then one looks at the rectangle that is formed by the eights and observes which 1 value overlaps with the rectangle of the eights. Once the overlapping ones got identified they are turned into the value 3. Dimension: The input and the output has the same dimension as we only modify the values of the copied input and don't add anything. Values: The only values used are eights, threes, ones, and zeros. Changed values: Following the explanation only the one values are changed which seem to be overlapping with the rectangle of eights.
40853293;First the input is copied and then we look for two equal values in the same line no matter if it is a horizontal or vertical line. Once we identified such a pair we set every value between these two values to the same value as the identified pair has. If two lines cross each other the value of the vertical line has priority. Dimension: The dimensions stay the same as we copy from the input but don't add anything, we only change values within the same dimensions. Values: Based on the description earlier we only use values seen in the input. Changes values: Based on the description earlier we only change zero-values inbetween two equal values and cross points of two lines where we have grant the priority value to the vertical line.
50846271;First the input is copied and then the values equal to two are identified. Values equal to two indicate a subset of a pluss sign with five vertical points and five horizontal points. Since the values equal to two are usually only subset they are filled up to the 5 by 5 plus sign with values equal to eight. All the other values which don't interfere with the 5 by 5 plus signs aren't changed. Dimension: The dimensions stay the same since the input is copied and nothing is added only values within the given dimensions are changed. Values: The only used values are in the solution should be 0,5,2, and 8. If a value is change from input to output is has to be change to 2 since these are the only values we add. Changed values: Only values not equal to eight are changed which interfere with the imagined 5 by 5 plus sign.
63613498;First the input is copied then one observes which structure is displayed in the top left corner and memorizes the valuex held by the structure. By displayed I mean which one is surrounded by the dimension boundaries and fives. Once the displayed structure and the value x is known one searches in the rest of the grid for this structure and if found lessens the value y of the outer structure by x. All other entries stay untouched. Dimension: This means that the dimension stays unchanged since we don't add anything and only change values from the copied input. Values: The only values used are therefore the same values as seen in the input and x-y (if x-y<0 then use 0). Changed values: Only the the tiles which have the same structure as the displayed one in the top left corner are changed everything else remains the same.
82819916;First the input is copied and then the pattern of the horizontal top non-zero line which goes from the left bound to the right bound is observed and memorized. The patter is then copied to each indicated line just with the respective values of the line-indication. A line is indicated if the first three values from left to right are non-zero. Dimension: The dimensions therefore stay the same. Values: Only values that are used in the input are used in the output again. Changed values: Only zero values being in the same row as an indicated line will be changed.
91413438;First the zero-values of the three by three input are count assume that there are x zero values. Then the dimensions are set such that the width and height are (x times 3). As it is a three by three grid the non-zero values are therefore 9-x. Now going from left to right and top to bottom insert (9-x) three by three consecutive input grids without them overlapping each other. Dimension: This means for the dimensions of the output that it is a (x times 3) by (x times 3) grid. Values: The used values are the same as seen in the input. Changed values: The values changed therefore depend on the input three by three grid in a sense that we copy the input grid consecutively into the output grid without overlapping. By non-overlapping I mean that if we insert the grid at the top left corner (0,0) the next copied input grid can only start at (3,0).
95990924;First the input is copied and then one observes the squares of fives. Once they are observed one takes a diagonal step into the zero value at each corner five and changes the value as follows: if step taken from the top left corner change value to 1. If step taken from the top right corner change value to 2. If step taken from the bottom left corner change value to 3. If step taken from the bottom right corner change value to 4. Dimension: The input dimension is therefore the same as the output dimension. Values: The only values used in the output should be 0,1,2,3,4,and 5. Changed values: Change only the values which are part of the surrounding frame of zeros which surround the squares of fives. 
